datetime,temperature(C),precipitattion(mm),windspeed(m/s),winddirection(degree),humidity(%),airpressure(hPa),irradiance(hr),radiation(MJ/m2),amountofcloud,groundtemperature(C),generation(Wh),season
4/1/2022 0:00,7.7,,3.1,340,61,1017.3,,,9,6.1,0,Spring
4/1/2022 1:00,7.1,,2.8,340,67,1017.6,,,10,6,0,Spring
4/1/2022 2:00,6.7,,2.7,320,70,1017.4,,,10,5.8,0,Spring
4/1/2022 3:00,6.7,,3.1,340,73,1017.2,,,9,5.3,0,Spring
4/1/2022 4:00,6.6,,3.2,340,71,1017.3,,,1,4.4,0,Spring
4/1/2022 5:00,6.6,,3.5,340,66,1017.5,,,1,3.9,0,Spring
4/1/2022 6:00,6.1,,2.6,340,68,1018,,,0,3.5,1.008,Spring
4/1/2022 7:00,6.9,,2.7,340,58,1019,0.2,,0,3.6,25.152,Spring
4/1/2022 8:00,8.3,,2.8,360,51,1019.5,1,,3,6.4,107.856,Spring
4/1/2022 9:00,9.5,,3.4,20,47,1020,1,,4,8.8,195.888,Spring
4/1/2022 10:00,10.6,,3.4,20,39,1020.3,1,,4,12.6,238.128,Spring
4/1/2022 11:00,11.1,,3.8,70,41,1020.3,1,,3,15.7,356.832,Spring
4/1/2022 12:00,10.6,,3.1,50,39,1020,1,,3,16,343.008,Spring
4/1/2022 13:00,11,,4.6,90,37,1019.3,1,,5,18.8,373.104,Spring
4/1/2022 14:00,11.2,,4.3,70,37,1019,1,,6,18.6,329.088,Spring
4/1/2022 15:00,10.7,,4,90,38,1018.6,1,,6,17.3,271.584,Spring
4/1/2022 16:00,10.6,,4.4,90,39,1018.4,1,,6,15.7,141.36,Spring
4/1/2022 17:00,9.6,,3.7,70,40,1018.4,1,,6,12.5,59.28,Spring
4/1/2022 18:00,9.1,,2.5,50,44,1018.6,0.5,,7,9.6,6.384,Spring
4/1/2022 19:00,8.6,,1.4,70,45,1018.7,0,,7,7.3,0,Spring
4/1/2022 20:00,7.8,,0.8,360,50,1019.2,,,5,6.2,0,Spring
4/1/2022 21:00,7.1,,0.7,340,54,1019.7,,,0,5.3,0,Spring
4/1/2022 22:00,6.6,,0.8,320,56,1019.5,,,0,4.5,0,Spring
4/1/2022 23:00,6.1,,1.8,290,59,1019.5,,,0,3.9,0,Spring
4/2/2022 0:00,5.4,,1.3,270,62,1019.6,,,0,3.4,0,Spring
4/2/2022 1:00,5.1,,1.7,270,64,1019.5,,,0,3,0,Spring
4/2/2022 2:00,3.6,,0.5,320,71,1019.2,,,0,2.5,0,Spring
4/2/2022 3:00,3.8,,1.4,320,71,1018.8,,,0,2.2,0,Spring
4/2/2022 4:00,4,,1,320,71,1018.3,,,0,2,0,Spring
4/2/2022 5:00,3.5,,0.8,320,73,1018.2,,,0,1.7,0,Spring
4/2/2022 6:00,2.7,,0,0,79,1018.3,,,0,1.3,2.256,Spring
4/2/2022 7:00,4.3,,0,0,77,1018.5,0.4,,0,2.1,45.84,Spring
4/2/2022 8:00,7.3,,0.2,0,67,1018.6,1,,0,5.8,137.76,Spring
4/2/2022 9:00,9.8,,1.4,90,57,1018.5,1,,0,11.1,228.336,Spring
4/2/2022 10:00,11.3,,1.7,140,46,1018.2,1,,1,15.6,300.528,Spring
4/2/2022 11:00,12.5,,2.4,160,40,1017.7,1,,2,19,348.72,Spring
4/2/2022 12:00,13.8,,2.8,140,39,1016.9,1,,4,18.9,365.232,Spring
4/2/2022 13:00,13.8,,3.4,140,42,1016.2,0.9,,3,21.5,355.296,Spring
4/2/2022 14:00,13.6,,3.5,140,46,1015.4,0.7,,2,19.4,325.152,Spring
4/2/2022 15:00,13.9,,3.4,140,44,1014.8,1,,2,21.1,265.008,Spring
4/2/2022 16:00,12.9,,3.8,140,50,1014.4,1,,0,19.1,169.008,Spring
4/2/2022 17:00,12.4,,3.5,140,52,1014.6,1,,4,16.5,52.416,Spring
4/2/2022 18:00,11.5,,3.2,140,55,1014.9,1,,0,12.9,5.856,Spring
4/2/2022 19:00,10.7,,2.7,160,58,1015.3,0.3,,0,9.6,0,Spring
4/2/2022 20:00,10.6,,2.4,200,60,1015.6,,,0,8.3,0,Spring
4/2/2022 21:00,10.3,,2.6,200,60,1016.3,,,0,7.4,0,Spring
4/2/2022 22:00,10.2,,2.6,230,61,1016.5,,,0,6.8,0,Spring
4/2/2022 23:00,9.1,,1.1,160,64,1016.5,,,3,6.2,0,Spring
4/3/2022 0:00,7.9,,0.4,0,69,1016.6,,,0,5.4,0,Spring
4/3/2022 1:00,7.1,,0.6,70,72,1016.6,,,0,4.8,0,Spring
4/3/2022 2:00,6.9,,0.6,360,73,1016.6,,,0,4.3,0,Spring
4/3/2022 3:00,6,,1,290,77,1016.4,,,0,3.8,0,Spring
4/3/2022 4:00,6.1,,1.1,340,73,1016.2,,,0,3.4,0,Spring
4/3/2022 5:00,6.6,,2.2,320,62,1016.5,,,0,3.1,0,Spring
4/3/2022 6:00,6.5,,1.7,320,56,1016.9,,,0,2.8,2.4,Spring
4/3/2022 7:00,6.9,,2.1,320,52,1017.3,0.5,,0,3.2,45.6,Spring
4/3/2022 8:00,9,,2.1,340,45,1017.7,1,,0,6.6,137.76,Spring
4/3/2022 9:00,10.5,,2.2,320,38,1018,1,,0,11,228.96,Spring
4/3/2022 10:00,13.6,,1.4,340,27,1018.1,1,,0,15.8,296.592,Spring
4/3/2022 11:00,14,,1.2,270,22,1018,1,,0,19.3,343.104,Spring
4/3/2022 12:00,15.2,,1.8,90,22,1017.6,1,,0,22.1,360.432,Spring
4/3/2022 13:00,15.5,,2.9,90,30,1017,1,,0,24,352.896,Spring
4/3/2022 14:00,15.3,,3.2,140,38,1016.6,1,,0,24.8,315.648,Spring
4/3/2022 15:00,15.1,,3.7,110,46,1016.4,1,,3,22.8,257.136,Spring
4/3/2022 16:00,14,,2.7,140,56,1016.5,0.5,,4,19.7,163.536,Spring
4/3/2022 17:00,13.5,,2.7,140,55,1016.6,0.9,,1,18.1,62.352,Spring
4/3/2022 18:00,12.4,,1.8,140,60,1017,1,,2,14.7,5.664,Spring
4/3/2022 19:00,11.2,,2.3,110,67,1017.4,0.3,,0,11,0,Spring
